Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Darrick Martin,Los Angeles Clippers,10.9,1.4,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Darrin Hancock,Atlanta Hawks,1.8,0.8,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Darvin Ham,Indiana Pacers,2.3,1.6,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
David Robinson,San Antonio Spurs,17.7,8.5,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
David Vaughn,Orlando Magic,2.3,2.7,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
David Wesley,Boston Celtics,16.8,3.6,7.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
David Wingate,Oklahoma City Thunder,3.6,1.1,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
David Wood,Milwaukee Bucks,1.2,0.6,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dean Garrett,Minnesota Timberwolves,8,7.3,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dee Brown,Boston Celtics,7.6,2.3,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dell Curry,Charlotte Hornets,14.8,3.1,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dell Demps,Orlando Magic,1,0,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Rodman,Chicago Bulls,5.7,16.1,3.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
